window,bucket,seq,station,samples,days,vehicles,min,p10,p20,median,avg,max,zero_rate_pct,le10_rate_pct,buffer,call_count,policy
평일 퇴근 16:00-20:30,16:00,29,국가인권위.안중근활동터(중),7,1,2,20,20,20,26,26,32,0,0,3,17,데이터 보강
평일 퇴근 16:00-20:30,16:15,29,국가인권위.안중근활동터(중),7,1,2,26,26,26,31,30.9,34,0,0,4,22,데이터 보강
평일 퇴근 16:00-20:30,16:30,29,국가인권위.안중근활동터(중),12,2,2,26,26,26,26,37.4,55,0,0,4,22,일반 호출
평일 퇴근 16:00-20:30,16:45,29,국가인권위.안중근활동터(중),7,1,1,28,28,28,28,29.7,32,0,0,5,23,데이터 보강
평일 퇴근 16:00-20:30,17:00,29,국가인권위.안중근활동터(중),8,2,2,15,15,15,23,27,35,0,0,3,12,일반 호출
평일 퇴근 16:00-20:30,17:15,29,국가인권위.안중근활동터(중),11,2,2,25,31,31,59,52.6,64,0,0,5,26,일반 호출
평일 퇴근 16:00-20:30,17:30,29,국가인권위.안중근활동터(중),6,1,1,36,36,36,36,36,36,0,0,6,30,데이터 보강
평일 퇴근 16:00-20:30,17:45,29,국가인권위.안중근활동터(중),13,2,3,27,27,27,34,37.5,49,0,0,5,22,일반 호출
평일 퇴근 16:00-20:30,18:00,29,국가인권위.안중근활동터(중),9,2,2,34,34,34,36,35.6,36,0,0,6,28,일반 호출
평일 퇴근 16:00-20:30,18:15,29,국가인권위.안중근활동터(중),11,2,3,10,10,26,35,32,45,0,18.2,4,22,일반 호출
평일 퇴근 16:00-20:30,18:30,29,국가인권위.안중근활동터(중),8,2,2,35,35,35,45,41.3,45,0,0,6,29,일반 호출
평일 퇴근 16:00-20:30,18:45,29,국가인권위.안중근활동터(중),10,2,3,31,31,31,33,46.1,60,0,0,5,26,일반 호출
평일 퇴근 16:00-20:30,19:00,29,국가인권위.안중근활동터(중),3,2,2,28,28,28,60,49.3,60,0,0,5,23,데이터 보강
평일 퇴근 16:00-20:30,19:15,29,국가인권위.안중근활동터(중),12,2,2,28,29,29,35,33.3,36,0,0,5,24,일반 호출
평일 퇴근 16:00-20:30,19:30,29,국가인권위.안중근활동터(중),6,2,2,26,26,26,26,32.2,39,0,0,4,22,데이터 보강
평일 퇴근 16:00-20:30,19:45,29,국가인권위.안중근활동터(중),10,2,3,35,35,36,39,38.4,40,0,0,6,30,일반 호출
평일 퇴근 16:00-20:30,20:00,29,국가인권위.안중근활동터(중),5,2,2,32,32,32,39,36.6,40,0,0,5,27,데이터 보강
평일 퇴근 16:00-20:30,20:15,29,국가인권위.안중근활동터(중),7,2,2,32,32,32,54,45.4,56,0,0,5,27,데이터 보강
평일 퇴근 16:00-20:30,16:00,31,서울시청,8,2,2,21,21,21,36,31,36,0,0,4,17,일반 호출
평일 퇴근 16:00-20:30,16:15,31,서울시청,9,2,2,27,27,27,29,31.4,38,0,0,5,22,일반 호출
평일 퇴근 16:00-20:30,16:30,31,서울시청,11,2,2,25,25,25,51,40.4,55,0,0,4,21,일반 호출
평일 퇴근 16:00-20:30,17:00,31,서울시청,22,2,2,29,30,32,36,34.8,41,0,0,5,27,일반 호출
평일 퇴근 16:00-20:30,17:15,31,서울시청,20,2,5,11,23,34,35,33.9,40,0,0,6,28,일반 호출
평일 퇴근 16:00-20:30,17:30,31,서울시청,14,2,2,36,36,41,41,48.5,68,0,0,7,34,일반 호출
평일 퇴근 16:00-20:30,17:45,31,서울시청,12,2,3,35,35,36,36,39.3,50,0,0,6,30,일반 호출
평일 퇴근 16:00-20:30,18:00,31,서울시청,11,2,3,31,31,31,37,40.9,52,0,0,5,26,일반 호출
평일 퇴근 16:00-20:30,18:15,31,서울시청,22,2,3,29,32,33,36,36.9,45,0,0,5,28,일반 호출
평일 퇴근 16:00-20:30,18:30,31,서울시청,29,2,3,34,35,35,37,39.2,45,0,0,6,29,일반 호출
평일 퇴근 16:00-20:30,18:45,31,서울시청,5,1,2,31,31,31,32,33.2,40,0,0,5,26,데이터 보강
평일 퇴근 16:00-20:30,19:00,31,서울시청,17,2,4,33,36,38,44,47.2,61,0,0,6,32,일반 호출
평일 퇴근 16:00-20:30,19:15,31,서울시청,7,2,2,36,36,39,40,40,43,0,0,6,33,데이터 보강
평일 퇴근 16:00-20:30,19:30,31,서울시청,16,2,3,34,34,38,38,38.3,43,0,0,6,32,일반 호출
