sample_id,target_label,route_id,route_name,target_station_name,target_station_seq,veh_id,plate_no,before_collected_at,after_collected_at,kst_date,kst_minute_of_day,day_of_week,is_weekend,direction_code,before_station_seq,after_station_seq,remaining_stops,before_remain_seat_count,target_remain_seat_count,seat_delta,is_low_seat,is_zero_seat
SF-000001,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-28T08:23:44.483Z,2026-05-28T08:24:44.531Z,2026-05-28,1043,4,0,0,2,3,1,44,43,1,0,0
SF-000002,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-28T13:15:40.943Z,2026-05-28T13:17:11.015Z,2026-05-28,1335,4,0,0,2,3,1,43,39,4,0,0
SF-000003,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-28T22:32:35.451Z,2026-05-28T22:34:05.527Z,2026-05-29,452,5,0,0,2,3,1,40,36,4,0,0
SF-000004,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-29T07:09:12.175Z,2026-05-29T07:11:12.279Z,2026-05-29,969,5,0,0,2,3,1,41,38,3,0,0
SF-000005,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-29T11:08:24.627Z,2026-05-29T11:09:24.663Z,2026-05-29,1208,5,0,0,2,3,1,43,43,0,0,0
SF-000006,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-29T20:01:51.547Z,2026-05-29T20:03:51.654Z,2026-05-30,301,6,1,0,1,3,2,43,40,3,0,0
SF-000007,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-29T23:45:02.882Z,2026-05-29T23:47:02.983Z,2026-05-30,525,6,1,0,2,3,1,37,32,5,0,0
SF-000008,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-30T03:55:15.675Z,2026-05-30T03:56:15.727Z,2026-05-30,775,6,1,0,2,3,1,39,34,5,0,0
SF-000009,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-30T08:04:28.527Z,2026-05-30T08:05:28.575Z,2026-05-30,1024,6,1,0,2,3,1,42,38,4,0,0
SF-000010,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-30T21:23:07.623Z,2026-05-30T21:24:07.679Z,2026-05-31,383,0,1,0,2,3,1,43,43,0,0,0
SF-000011,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-31T01:32:20.379Z,2026-05-31T01:34:20.475Z,2026-05-31,632,0,1,0,2,3,1,35,20,15,0,0
SF-000012,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-31T05:59:33.367Z,2026-05-31T06:00:33.410Z,2026-05-31,899,0,1,0,2,3,1,41,38,3,0,0
SF-000013,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-31T10:08:45.667Z,2026-05-31T10:10:45.772Z,2026-05-31,1148,0,1,0,2,3,1,41,36,5,0,0
SF-000014,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-05-31T23:08:58.718Z,2026-05-31T23:10:24.999Z,2026-06-01,488,1,0,0,3,3,0,36,35,1,0,0
SF-000015,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-06-01T03:28:37.896Z,2026-06-01T03:30:38.007Z,2026-06-01,748,1,0,0,2,3,1,43,42,1,0,0
SF-000016,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-06-01T07:39:50.502Z,2026-06-01T07:40:50.555Z,2026-06-01,999,1,0,0,2,3,1,41,39,2,0,0
SF-000017,m4137-dongtan-to-seoul-03-hosubuyeong1,234001622,M4137,호수부영1차,3,234000037,경기77바1044,2026-06-01T11:59:03.323Z,2026-06-01T12:00:03.379Z,2026-06-01,1259,1,0,0,2,3,1,43,43,0,0,0
